Model Number,Name,Coast Appliances Price,Home Depot Price,Lowes Price,Trail Appliaces Price
WM98400SX2                    ,Blomberg - 2.5 cu. Ft  Compact Washer in White - 240V                                               ,1794.96,0,0,0
GTW840CPNDG                   ,GE - 6 cu. Ft  Top Load Washer in Grey                                                              ,1144.98,0,0,0
BCSM130SS                     ,Broan - 30 Inch 375 CFM Under Cabinet Range Vent in Stainless                                       ,344.98,0,0,0
MB30WP                        ,Thermador - 1.6 cu. Ft  Built In Microwave in Stainless                                             ,3079,0,0,0
RF23R6201SR                   ,Samsung - 35.75 Inch 22.6 cu. ft French Door Refrigerator in Stainless                              ,2394.98,0,0,0
HPIN54WS                      ,Thermador - 53.9375 Inch (Blower Sold Separately) CFM Island Range Vent in Stainless                ,6389,0,0,0
WKEX200HBA                    ,LG - 5.2 cu. ft. Washer and 7.4 cu. ft. Electric Dryer WashTower in Black Stainless                 ,2694.99,0,2695,0
DUF140E1WDD                   ,Danby - 14 cu. Ft  Upright Freezer in White                                                         ,1114.98,0,0,0
JUIFX15HX                     ,Jennair - 15 cu. Ft  Under Counter Ice Maker Freezer in Stainless                                   ,4099,0,0,0
WZF34X18DW                    ,Whirlpool - 18 cu. Ft  Upright Freezer in White                                                     ,1495.98,0,1395,0
FFHT1835VS                    ,Frigidaire - 30 Inch 18.3 cu. ft Top Mount Refrigerator in Stainless                                ,944.98,0,0,0
DYWS4                         ,Dacor - 25.6 Inch 4 Bottles Wine Station in Stainless                                               ,8075,0,0,0
KSM150PSWH                    ,KitchenAid - 5 Quarts Tilt-Head Mixer in White                                                      ,624.98,0,0,0
MLCL215-SS01B                 ,Marvel - 14.875 Inch Ice Maker in Stainless                                                         ,4124.98,0,0,0
CRIS24SS300                   ,Faber - 23.5625 Inch 300 CFM Under Cabinet Range Vent in Stainless                                  ,999.96,0,0,0
T208C.W                       ,Asko - 4.1 cu. Ft  Electric Dryer in White                                                          ,2589.98,0,0,0
B3007PS                       ,AEG - 120 Litre Single Wall Oven in Stainless                                                       ,3399.98,0,0,0
PERFEKT GLIDE-30 REC          ,AEG - 29.8125 Inch 300 CFM Under Cabinet Range Vent in Stainless                                    ,604.98,0,0,0
RW414761                      ,Gaggenau - 17.75 Inch 9.7 cu. ft Wine Fridge Refrigerator in Panel Ready                            ,10539,0,0,0
WF45R6100AP                   ,Samsung - 5.2 cu. Ft  Front Load Washer in Stainless                                                ,1044.99,1345,0,0
RY492705                      ,Gaggenau - 35.75 Inch 19.4 cu. ft Built In / Integrated Refrigerator in Stainless                   ,17399,0,0,0
LSEL6335F                     ,LG - 6.3 cu. ft  Electric Range in Stainless                                                        ,1994.99,0,1995,0
PCFE307CAF                    ,Frigidaire Professional - 5.4 cu. ft  Electric Range in Stainless                                   ,2194.99,0,2195,0
EFMC527UTT                    ,Electrolux - 8 cu. Ft  Electric Dryer in Silver                                                     ,1049.96,0,0,0
WTW8127LC                     ,Whirlpool - 6 cu. Ft  Top Load Washer in Grey                                                       ,1104.99,1145,0,0
NNTK714SS                     ,Panasonic - NNTK714SS Stainless Steel Microwave Trim Kit                                            ,369.99,0,0,0
BXB60934                      ,Cyclone - 32.5 Inch 900 CFM Blower and Insert Vent in Stainless                                     ,1379.98,0,0,0
BU224WH                       ,Broan - 24 Inch 160 CFM Under Cabinet Range Vent in White                                           ,79.99,0,0,0
WD100CV                       ,LG - 1.1 cu. Ft  Compact Washer in Stainless                                                        ,845.98,0,0,0
PERFEKT GLIDE-24-1            ,AEG - 23.5625 Inch 300 CFM Under Cabinet Range Vent in Stainless                                    ,534.98,0,0,0
